Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestCloud,Chrome 127.0.0.0,,,25-08-2024 16:30:16,25-08-2024 16:30:26,9.691s,PASSED
,,,,,,,
Test Cases/Log in,Chrome 127.0.0.0,,,25-08-2024 16:30:16,25-08-2024 16:30:26,9.593s,PASSED
"openBrowser("""")",Chrome 127.0.0.0,,,25-08-2024 16:30:16,25-08-2024 16:30:18,1.902s,PASSED
navigateToUrl(url),Chrome 127.0.0.0,,,25-08-2024 16:30:18,25-08-2024 16:30:22,3.998s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,25-08-2024 16:30:22,25-08-2024 16:30:23,0.349s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btn Make Appointment""))",Chrome 127.0.0.0,,,25-08-2024 16:30:23,25-08-2024 16:30:23,0.749s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Username""), username)",Chrome 127.0.0.0,,,25-08-2024 16:30:23,25-08-2024 16:30:24,0.714s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/input_Password""), password)",Chrome 127.0.0.0,,,25-08-2024 16:30:24,25-08-2024 16:30:25,0.515s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btn_Login""))",Chrome 127.0.0.0,,,25-08-2024 16:30:25,25-08-2024 16:30:26,1.068s,PASSED
closeBrowser(),Chrome 127.0.0.0,,,25-08-2024 16:30:26,25-08-2024 16:30:26,0.113s,PASSED
